Fecha,CIDIA_m3dia,CIDIA93_m3dia,VOLUMEN_m3,VOLUMEN93_m3,VHOY93_m3,VHOY_m3,FRECUENCIA_Hz,PMA_Kgcm2,PAB_Kgcm2,Fpv,Zb,Zf,SNDVEL7_ms,SNDVEL8_ms,SNDVEL6_ms,SNDVEL5_ms,Etiqueta,SNDVEL_promedio,Q_P_ratio,Q_Z_ratio,Q_Fpv_ratio,Z_Fpv,PMA_Kgcm2_smooth,CIDIA_m3dia_smooth,Zb_smooth,Fpv_smooth,SNDVEL_promedio_smooth,Q_P_ratio_smooth,Q_Z_ratio_smooth,Q_Fpv_ratio_smooth,Z_Fpv_smooth
2025-07-01 15:00:00,3252308,3.200.033,4.666.742,4.608.525,1.390.663,1.400.086,"358,09",67.29,"68,27",1.0487,0.9979,"0,9073","439,97","439,97","439,96","439,87",0,4399425,48332.70916926735,3259152.219661289,3101275.865357109,1.04649773,67.19666666666666,3244894.6666666665,0.9979,1.0487666666666666,1.4676916669599998e+16,48286.734688097706,3251723.285566356,3094010.338032843,1.0465642566666666
2025-07-01 16:00:00,3343964,3.290.937,4.666.742,4.608.525,1.525.171,1.536.713,"367,62",67.35,"68,34",1.0488,0.9979,"0,9072","440,35","440,34","440,32","440,22",0,44030749999999995,49650.54194506311,3351001.102314861,3188371.472158658,1.04659752,67.53666666666668,3550875.3333333335,0.9979,1.0488333333333333,1.467691666814781e+16,52553.94820382051,3558347.8638474126,3385508.1210848554,1.0466307833333335
2025-07-01 17:00:00,4056354,3.991.567,4.666.742,4.608.525,1.672.261,1.686.185,"442,24",67.97,"68,96",1.049,0.9979,"0,9067","440,18","440,21","440,15","440,10",0,44016,59678.593497131085,4064890.269566089,3866877.025738799,1.0467971,67.90333333333332,3901377.3333333335,0.9979,1.0491666666666666,1.4676916668143846e+16,57419.864370481366,3909587.467014063,3718430.1382118575,1.0469634166666666
2025-07-01 18:00:00,4303814,4.245.672,4.666.742,4.608.525,1.847.254,1.863.864,"466,44",68.39,"69,38",1.0497,0.9979,"0,9057","438,77","438,78","438,75","438,71",0,4387525,62930.45766924989,4312871.029161238,4100041.9167381153,1.04749563,68.29333333333334,4337813.333333333,0.9978666666666666,1.0498,1.4577166668143846e+16,63506.73373185651,4347097.689540365,4131884.6904795202,1.0475603966666667
2025-07-01 19:00:00,4653272,4.608.914,4.666.742,4.608.525,2.029.264,2.047.901,"501,61",68.52,"69,50",1.0507,0.9978,"0,9037","437,32","437,37","437,31","437,26",0,43731499999999994,67911.15002918856,4663531.769893766,4428735.128961645,1.04838846,68.54666666666667,4717700.0,0.9978333333333333,1.0503333333333333,1.4577166669587314e+16,68813.99533010174,4727957.744670637,4491511.886608341,1.04805759
2025-07-01 20:00:00,5196014,5.141.591,4.666.742,4.608.525,2.231.565,2.252.227,"559,63",68.73,"69,71",1.0506,0.9978,"0,9040","437,44","437,47","437,50","437,36",0,4374425,75600.37829186673,5207470.434956905,4945758.614125262,1.04828868,68.91000000000001,5100895.333333333,0.9978,1.0508,1.457716666958223e+16,74000.10068963212,5112142.045834169,4854257.562984381,1.04848824
2025-07-01 21:00:00,5453400,5.407.024,4.666.742,4.608.525,2.458.315,2.481.138,"580,91",69.48,"70,47",1.0511,0.9978,"0,9031","437,21","437,28","437,23","437,19",0,4372275,78488.7737478411,5465423.932651834,5188278.9458662355,1.04878758,69.53333333333335,5418988.333333333,0.9978,1.0512333333333332,4370841.666666667,77917.72700703242,5430936.39339881,5154803.0776651,1.0489206199999999
2025-07-01 22:00:00,5607551,5.579.824,4.666.742,4.608.525,2.690.032,2.714.427,"588,94",70.39,"71,37",1.052,0.9978,"0,9016","436,56","436,66","436,59","436,52",0,4365825,79664.0289813894,5619914.812587692,5330371.673003802,1.0496856,70.06,5499695.333333333,0.9978,1.0517999999999998,3058318.3333333335,78499.30574073008,5511821.340281953,5228835.581183105,1.0494860400000001
2025-07-01 23:00:00,5438135,5.412.976,4.666.742,4.608.525,2.910.749,2.936.106,"571,13",70.31,"71,29",1.0523,0.9978,"0,9011","436,84","436,94","436,82","436,82",0,436855,77345.11449295975,5450125.275606334,5167856.124679274,1.04998494,70.39333333333333,5581666.666666667,0.9978,1.0521333333333336,3057768.3333333335,79291.13900904336,5593973.408164629,5305103.908355468,1.04981864
2025-07-02 00:00:00,5699314,5.666.398,,,3.142.182,3.168.818,"597,25",70.48,"71,46",1.0521,0.9978,"0,9014","437,09","437,11","437,05","437,00",0,4370625,80864.27355278093,5711880.13629986,5417083.927383329,1.04978538,70.42,5654479.666666667,0.9978,1.0522666666666665,3057718.3333333335,80294.24140572037,5666946.949956571,5373616.150636856,1.0499516800000002
2025-07-02 01:00:00,5825990,5.797.582,4.594.075,4.559.671,3.381.456,3.409.355,"609,97",70.47,"71,46",1.0524,0.9978,"0,9008","436,56","436,61","436,59","436,51",0,4365675,82673.33617142047,5838835.437963519,5535908.399847967,1.05008472,70.43333333333334,5765544.666666667,0.9978,1.0522666666666667,1.4551416669578768e+16,81858.33141008088,5778256.831696399,5479161.147310808,1.0499516800000002
2025-07-02 02:00:00,5771330,5.739.571,4.594.075,4.559.671,3.611.173,3.640.236,"605,51",70.35,"71,34",1.0523,0.9978,"0,9012","436,55","436,58","436,58","436,46",0,43654249999999996,82037.38450604123,5784054.920825817,5484491.11470113,1.04998494,70.41666666666667,5783471.666666667,0.9978,1.0523,2.9109250001455228e+16,82132.00367889454,5796223.3580543855,5496027.171389647,1.04998494
2025-07-02 03:00:00,5753095,5.722.236,4.594.075,4.559.671,3.850.807,3.881.150,"603,19",70.43,"71,42",1.0522,0.9978,"0,9011","436,77","436,76","436,77","436,64",0,43673499999999996,81685.29035922191,5765779.7153738225,5467681.999619844,1.04988516,70.41666666666667,5752708.0,0.9978,1.0523333333333333,2.910925000145539e+16,81695.4538468147,5765391.862096612,5466622.708732487,1.0500182000000002
2025-07-02 04:00:00,5733699,5.700.135,4.594.075,4.559.671,4.088.749,4.120.422,"599,74",70.47,"71,45",1.0525,0.9978,"0,9008","436,63","436,66","436,62","436,56",0,4366175,81363.68667518093,5746340.950090199,5447695.011876484,1.0501845,70.42999999999999,5737124.666666667,0.9978,1.0523333333333333,1.4557833336243984e+16,81458.52864257051,5749774.169840314,5451813.877283913,1.0500182
2025-07-02 05:00:00,5724580,5.691.158,4.594.075,4.559.671,4.323.369,4.356.427,"599,98",70.39,"71,37",1.0523,0.9978,"0,9010","436,59","436,61","436,58","436,53",0,4365775,81326.6088933087,5737201.844056925,5440064.620355411,1.04998494,70.25333333333334,5691828.333333333,0.9978,1.0523333333333333,4365075.0,81016.96547561958,5704377.964856016,5408764.710458848,1.0500182
2025-07-02 06:00:00,5617206,5.585.613,4.594.075,4.559.671,4.556.672,4.591.058,"592,52",69.9,"70,89",1.0522,0.9978,"0,9013","436,32","436,39","436,33","436,27",0,4363275,80360.60085836909,5629591.100420926,5338534.499144649,1.04988516,69.45,5307345.333333333,0.9978,1.0519666666666667,4362175.0,76328.14916103041,5319047.237255295,5044977.843587078,1.04965234
2025-07-02 07:00:00,4580250,4.556.215,4.594.075,4.559.671,203.499,204.585,"495,60",68.06,"69,05",1.0514,0.9978,"0,9026","435,78","435,80","435,75","435,66",0,4357475,67297.23773141345,4590348.767288034,4356334.411261176,1.04908692,68.74333333333334,4935531.333333333,0.9978,1.0515999999999999,3052201.6666666665,71723.73732007448,4946413.44290773,4693171.042179923,1.04928648
2025-07-02 08:00:00,4609138,4.590.166,4.594.075,4.559.671,393.938,395.936,"498,82",68.27,"69,26",1.0512,0.9978,"0,9030","435,88","435,92","435,84","435,78",0,435855,67513.3733704409,4619300.461014232,4384644.216133943,1.04888736,68.26,4686350.666666667,0.9978,1.0514,1.4519750001597776e+16,68650.84163585065,4696683.3700808445,4457232.510640518,1.04908692
2025-07-02 09:00:00,4869664,4.852.052,4.594.075,4.559.671,592.323,595.016,"525,08",68.45,"69,43",1.0516,0.9978,"0,9023","435,61","435,66","435,59","435,51",0,43559250000000003,71141.9138056976,4880400.881940269,4630718.904526436,1.0492864800000001,68.45666666666666,4843180.0,0.9978,1.0514666666666668,1.451975000029049e+16,70742.52714077158,4853858.488675085,4606090.356817058,1.0491534400000002
2025-07-02 10:00:00,5050738,5.032.603,4.594.075,4.559.671,799.748,803.198,"543,46",68.65,"69,63",1.0516,0.9978,"0,9023","435,60","435,65","435,65","435,56",0,435615,73572.29424617624,5061874.123070756,4802907.949790794,1.0492864800000001,68.54333333333334,4899144.333333333,0.9978,1.0516333333333334,1.4519750001597296e+16,71473.7860683638,4909946.215006348,4658608.716898174,1.0493197400000003
2025-07-02 11:00:00,4777031,4.755.737,4.594.075,4.559.671,1.005.780,1.009.977,"514,02",68.53,"69,51",1.0517,0.9978,"0,9022","435,69","435,70","435,61","435,51",0,4356275,69707.15015321756,4787563.640008017,4542199.296377294,1.0493862600000001,68.76,4993643.666666667,0.9978,1.0515666666666668,3052888.3333333335,72618.29043896822,5004653.9052582355,4748781.865012088,1.04925322
2025-07-02 12:00:00,5153162,5.127.119,4.594.075,4.559.671,1.210.708,1.215.848,"551,07",69.1,"70,08",1.0514,0.9978,"0,9025","436,69","436,71","436,68","436,63",0,4366775,74575.42691751086,5164523.952695931,4901238.348868176,1.04908692,68.77,4898946.666666667,0.9978,1.0518333333333334,4354141.666666667,71228.76331400518,4909748.112514198,4657582.914562375,1.0495193
2025-07-02 13:00:00,4766647,4.767.922,4.594.075,4.559.671,1.408.099,1.413.898,"512,03",68.68,"69,66",1.0524,0.9978,"0,9007","433,97","434,02","433,89","433,87",0,4339375,69403.71287128712,4777156.744838645,4529311.098441658,1.05008472,68.85000000000001,4885541.0,0.9978,1.0517999999999998,4357591.666666667,70952.73832230933,4896312.88835438,4644979.015719228,1.04948604
2025-07-02 14:00:00,4736814,4.717.351,4.594.075,4.559.671,1.619.680,1.625.450,"509,06",68.77,"69,75",1.0516,0.9978,"0,9024","436,66","436,74","436,64","436,61",0,4366625,68879.07517813,4747257.967528563,4504387.59984785,1.0492864800000001,68.67,4703874.666666667,0.9978,1.0513333333333332,2916620.6666666665,68498.78913199162,4714246.007884012,4474141.788318724,1.0490204
2025-07-02 15:00:00,4608163,4.567.051,4.594.075,4.559.671,1.815.706,1.822.781,"499,18",68.56,"69,54",1.05,0.9978,"0,9052","438,68","438,66","438,57","438,57",0,43862,67213.57934655776,4618323.311284826,4388726.666666666,1.04769,68.61333333333333,4628321.333333333,0.9978,1.0512333333333335,1.4480083334803496e+16,67453.38763920769,4638526.090732946,4402760.358584394,1.04892062
2025-07-02 16:00:00,4539987,4.534.660,4.594.075,4.559.671,2.015.094,2.023.428,"488,33",68.51,"69,50",1.0521,0.9978,"0,9014","434,43","434,41","434,41","434,36",0,43440250000000003,66267.50839293533,4549996.993385448,4315166.809238666,1.04978538,68.45666666666666,4467947.666666667,0.9978,1.0507,1.4480083334804762e+16,65263.305478806134,4477798.824079641,4252311.476095428,1.04838846
